类型,题干,A,B,C,D,正确答案,解析,来源,出现次数,首次记录
单选题,1984年，由美国疾病预防控制中心（CDC）／国立卫生研究院（NIH）联合出版了两版（），（）年出版的第3版着重描述微生物实验室标准操作、实验室设备和安全装备的组合，形成1～4级的实验室生物安全防护等级，该版指南在国际上称为“金标准”。,《病原微生物分类》，1987,《基于危害程度的病原微生物分类》，1990,《实验室病原微生物分类》，1991,《微生物学和生物医学实验室的生物安全》，1993,D,,接口直采,1,2026/9/18 12:50:35
单选题,①个人防护措施；②事故报警；③紧急情况下人员的安全疏散；④对潜在事故的辩识；⑤灭火器的使用以及灭火步骤的训练。应急培训一般包括：（）,①②③④⑤,①③⑤,②③④,①②④⑤,A,,接口直采,1,2026/9/18 12:50:15
单选题,"2,4-二硝基苯甲醚、萘、二硝基萘等可升华固体药品燃烧应如何进行灭火：( )",用灭火器灭火,火灭后还要不断向燃烧区域上空及周围喷雾水,用水灭火，并不断向燃烧区域上空及周围喷雾水至可燃物完全冷却,以上都是,D,,接口直采,1,2026/9/18 12:50:25
单选题,2004年在俄罗斯BSL-4实验室发生了（）病毒感染死亡事故。,SARS,布鲁氏菌,肝炎,埃博拉,D,,接口直采,1,2026/9/18 12:50:35
单选题,800M核磁共振波谱仪1ppm大约相当于（）,600Hz,700MHz,800Hz,800MHz,C,,接口直采,1,2026/9/18 12:50:16
单选题,安全出口的疏散门应（）,自由开启,向外开启,向内开启,日常上锁,B,,接口直采,1,2026/9/18 12:50:42
单选题,氨气气体瓶的外表颜色是：（）,大红色,淡黄色,粉色,黑色,B,,接口直采,1,2026/9/18 12:50:23
单选题,氨气气体瓶的字体颜色是：（）,红色,银灰色,白色,黑色,D,,接口直采,1,2026/9/18 12:50:23
单选题,按防护能力生物安全柜分为I级、II级、II级，其中，II级生物安全柜又分为（）亚型，即（）型。,两种，A、B,三种，A、B、C,四种，A1、A2、B1、B2,五种，A、B、C、D、E,C,,接口直采,1,2026/9/18 12:50:35
单选题,按放射性核素日等效最大操作量的大小，可将非密封源工作场所分为：（）,高、中、低3级,甲、乙、丙3级,极高、高、中、低4级,甲、乙、丙、丁4,B,,接口直采,1,2026/9/18 12:50:16
单选题,按规定须专业人员操作的起重设备：（）,可以允许无证人员在专业人员指导下进行操作,不允许无证人员操作,培训过就可以,以上都对,B,,接口直采,1,2026/9/18 12:50:30
单选题,按照《麻醉药品和精神药品管理条例》，精神药品分为（）类。,2,3,4,5,A,,接口直采,1,2026/9/18 12:50:25
单选题,按照《易制毒化学品管理条例》，易制毒化学品分为（）类。,2,3,4,5,B,,接口直采,1,2026/9/18 12:50:25
单选题,按照火灾造成的死亡人数，我国火灾分为（）等级。,特大火灾、重大火灾和一般火灾三个,重大火灾、较大火灾和一般火灾三个,特大火灾、重大火灾、较大火灾和一般火灾四个,特大火灾、重大火灾、较大火灾三个,C,,接口直采,1,2026/9/18 12:50:32
单选题,按照目前我国高校实验教学的实际情况，如实验内容涉及临床样本的微生物检验等实验操作，应在生物安全（）实验室条件下完成。,I级,II级,III级,IV级,B,,接口直采,1,2026/9/18 12:50:35
单选题,按照目前我国高校实验教学的实际情况，如实验内容涉及卫生部发布的《人间传染的病原微生物名录》第三类危害程度以上的病原微生物如金黄色葡萄球菌、志贺菌、伤寒沙门菌、产气肠杆菌、肺炎链球菌等的培养、观察、鉴定以及动物感染等操作，则应在生物安全（）实验室或动物生物安全（）实验室的防护条件下完成。,I级，I级,II级，II级,III级，I级,IV级，IV级,B,,接口直采,1,2026/9/18 12:50:35
单选题,按照目前我国高校实验教学的实际情况，涉及实验动物与感染性病原体的生物类实验，应尽量在内容设计上符合动物生物安全（）实验室或生物安全（）实验室的防护要求。,I级，I级,II级，II级,III级，I级,IV级，IV级,A,,接口直采,1,2026/9/18 12:50:35
单选题,按照危害程度分类，乙型肝炎病毒、人类免疫缺陷病毒（HIV）和结核分枝杆菌分别属于第几类病原微生物？,第四类、第二类、第三类,第三类、第二类、第三类,第三类、第二类、第二类,第三类、第三类、第二类,C,,接口直采,1,2026/9/18 12:50:35
单选题,把玻璃管或温度计插入橡皮塞或软木塞时，常常会折断而使人受伤。下列不正确的操作方法是:( ),"可在玻璃管上沾些水或涂上甘油等作润滑剂,一手拿着塞子，一手拿着玻璃管一端(两只手尽量靠近)，边旋转边慢慢地把玻璃管插入塞子中",橡皮塞等钻孔时，打出的孔比管径略小，可用圆锉把孔锉一下，适当扩大孔径,"无需润滑,且操作时与双手距离无关",以上都是,C,,接口直采,1,2026/9/18 12:50:21
单选题,搬运昏迷伤员时应取的体位是：（）,侧卧位，下肢屈曲,侧卧位，头偏向一侧,仰卧位，下肢屈曲,仰卧位，头偏向一侧,B,,接口直采,1,2026/9/18 12:50:15
单选题,搬运剧毒化学品后，应该：( ),用流动的水洗手,吃东西补充体力,休息,以上都是,A,,接口直采,1,2026/9/18 12:50:28
单选题,搬运气瓶时，应该：（）,戴好瓶帽，轻装轻卸,随便挪动,无具体安全规定,翻滚推动,A,,接口直采,1,2026/9/18 12:50:23
单选题,半衰期 T(1/2)和衰变常数λ的关系是：（）,T(1/2)=ln3/λ,T(1/2)=ln4/λ,T(1/2)=ln2/λ,T(1/2)=ln5/λ,C,,接口直采,1,2026/9/18 12:50:16
单选题,包扎止血法不能用的物品是：（）,绷带,三角巾,止血带,麻绳,D,,接口直采,1,2026/9/18 12:50:15
单选题,保护计算机网络免受外部的攻击所采用的常用技术称为（ ）。,网络的容错技术,网络的防火墙技术,病毒的防治技术,网络信息加密技术,B,,接口直采,1,2026/9/18 12:50:42
单选题,爆炸物品不准和其他类物品同时储存，必须单独隔离限量储存在库内温度低于（）的条件下。,25℃,40℃,30℃,35℃,C,,接口直采,1,2026/9/18 12:50:25
单选题,爆炸物品在发生爆炸时的特点有：( ),反应速度极快，通常在万分之一秒以内即可完成,释放出大量的热,产生大量的气体,以上都是,D,,接口直采,1,2026/9/18 12:50:32
单选题,被电击的人能否获救，关键在于：( ),触电的方式,能否尽快脱离电源和施行紧急救护,触电电压的高低,人体电阻,B,,接口直采,1,2026/9/18 12:50:15
单选题,被电击的人是否获救，关键在于：（）,触电的方式,人体电阻的大小,触电电压的高低,能否尽快脱离电源和施行紧急救护,D,,接口直采,1,2026/9/18 12:50:37
单选题,被猴抓伤后要立即用（）洗净伤口，再用碘酒消毒，对患者观察3周，如发现有可疑的B病毒患猴出现，要及时捕杀。,肥皂水,自来水,无菌水,超纯水,A,,接口直采,1,2026/9/18 12:50:35
单选题,"被火困在室内,如何逃生？",跳楼,到窗口或阳台挥动物品求救、用床单或绳子拴在室内牢固处下到下一层逃生,"躲到床下,等待救援","打开门,冲出去",B,,接口直采,1,2026/9/18 12:50:32
单选题,被贮存的放射源有可能放出放射性气体或气溶胶时，必须放在封闭的容器内，并将容器保存在（）中。,通风橱,安全柜,超净台,低温保存箱,A,,接口直采,1,2026/9/18 12:50:16
单选题,苯、甲苯、汽油等火灾，不可以：（）,用沙土覆盖,用水灭火,用泡沫覆盖,用二氧化碳灭火剂,B,,接口直采,1,2026/9/18 12:50:32
单选题,苯的毒性级别是：（ ）,剧毒,高毒,低毒,微毒,B,,接口直采,1,2026/9/18 12:50:25
单选题,苯的毒性级别是（）。,微毒,低毒,中等,高毒,D,,接口直采,1,2026/9/18 12:50:25
单选题,苯属于高毒类化学品，下列叙述正确的是：( ),短期接触，苯对中枢神经系统产生麻痹作用，引起急性中毒。,长期接触，苯会对血液造成极大伤害，引起慢性中毒。,对皮肤、粘膜有刺激作用，是致癌物质,以上都是,D,,接口直采,1,2026/9/18 12:50:25
单选题,苯乙烯、乙酸乙烯酯应如何存放？,放在防爆冰箱里,和其它试剂混放,放在通风橱内,放在密闭的柜子中,A,,接口直采,1,2026/9/18 12:50:25
单选题,绷带包扎顺序原则上应为：（）,从上向下，从左向右，从远心端向近心端,从上向下，从右向左，从近心端向远心端,从下向上，从左向右，从远心端向近心端,从下向上，从右向左，从远心端向近心端,C,,接口直采,1,2026/9/18 12:50:15
单选题,标准是衡量事物的准则，是对重复性事物和概念所做的统一规定，是国际、国内或行业、企业内共同遵守的准则和依据。我国制定的国家标准的符号是（）,ISO,GB,WS,CNAS,B,,接口直采,1,2026/9/18 12:50:27
单选题,表示危险化学品的急性毒性的LD50的单位是什么？,mg/kg,g/kg,mL/kg,ug/kg,A,,接口直采,1,2026/9/18 12:50:25
单选题,丙级非密封源工作场所日等效最大操作量为：（）,>4×10^9,2×10^7∼4×10^9,豁免活度值以上至2×10^7,豁免活度值以下,C,,接口直采,1,2026/9/18 12:50:16
单选题,丙酮的毒性级别是：（ ）,剧毒,高毒,低毒,微毒,C,,接口直采,1,2026/9/18 12:50:25
单选题,丙酮属于低毒类化学品，下列叙述正确的是：( ),它的闪点只有-18℃，具有高度易燃性。,对神经系统有麻醉作用，并对黏膜有刺激作用。,它的沸点只有56℃，极易挥发;,以上都对,D,,接口直采,1,2026/9/18 12:50:25
单选题,病原微生物实验室生物安全的原理不包括以下的：（）,风险预测,风险识别,风险评估,风险控制,A,,接口直采,1,2026/9/18 12:50:35
单选题,病原微生物实验室生物安全工作的核心是：（）,风险预测,风险识别,风险评估,风险控制,C,,接口直采,1,2026/9/18 12:50:35
单选题,不管哪种射线，对机体组织作用的最终主要形式为（），可使机体内起重要作用的生物大分子遭到破坏，诱发基因突变和染色体畸变，导致细胞功能损伤。,蛋白质变性,DNA损伤,RNA损伤,原子激发和电离,D,,接口直采,1,2026/9/18 12:50:16
单选题,不会发生爆炸的是：( ),亚麻粉尘,砂尘,面粉,以上都是,B,,接口直采,1,2026/9/18 12:50:25
单选题,不具备处理条件的生物医学实验室内任何死亡动物尸体、组织碎块，一般应如何处理？,密封在塑料袋内丢入垃圾桶中,密封在专用密闭塑料袋内，交专门处理机构,密封在专用密闭塑料袋内，冷冻保存，并交专门机构处理,以上都是,C,,接口直采,1,2026/9/18 12:50:35
单选题,不具有强酸性和强腐蚀性的物质是：( ),氢氟酸,碳酸,稀硫酸,稀硝酸,B,,接口直采,1,2026/9/18 12:50:25
单选题,不慎发生意外，下列哪个操作是正确的？,如果不慎将化学品弄洒或污染，立即自行回收或者清理现场，以免对他人产生危险,任何时候见到他人洒落的液体应及时用抹布抹去，以免发生危险,pH值中性即意味着液体是水，自行清理即可,不慎将化学试剂弄到衣物和身体上，立即用大量清水冲洗10－15分钟,D,,接口直采,1,2026/9/18 12:50:15
单选题,不是实验室常用于皮肤或普通实验器械的消毒液为：( ),0.2%～1% 漂白粉溶液,70%乙醇,2%碘酊,0.2%～0.5%的洗必泰,A,,接口直采,1,2026/9/18 12:50:25
单选题,不属于常见的危险密码是( ）。,跟用户名相同的密码,使用生日作为密码,只有4位数的密码,6位及以上的综合型密码,D,,接口直采,1,2026/9/18 12:50:42
单选题,不同频率的电流对人体的伤害程度有所不同，（）Hz工频交流电对人体的伤害最为严重。,25,50,75,100,B,,接口直采,1,2026/9/18 12:50:37
单选题,不携带所规定的人畜共患病病原体和动物烈性传染病病原体的动物是：(),无特定病原体动物,清洁级动物,普通级动物,无菌动物,C,,接口直采,1,2026/9/18 12:50:35
单选题,"不锈钢容器进行水压试验时,应该控制水中的( )离子含量,防止腐蚀。",钠,氯,钙,以上都是,B,,接口直采,1,2026/9/18 12:50:30
单选题,不需要放在密封的干燥器内的药品是：( ),过硫酸盐,五氧化二磷,三氯化磷,盐酸,D,,接口直采,1,2026/9/18 12:50:25
单选题,不需在棕色瓶中或用黑纸包裹，置于低温阴凉处的药品是：( ),卤化银,浓硝酸,汞,过氧化氢,C,,接口直采,1,2026/9/18 12:50:25
单选题,部分废液混合可能发生危险，应：（）,直接倒入下水口,正常混合，可能没事,随生活垃圾丢弃,单独收集存放，贴好标签,D,,接口直采,1,2026/9/18 12:50:15
单选题,采集病原微生物样本应当具备的条件，其中错误的是：（）,具有与采集病原微生物样本所需要的生物安全防护水平相适应的设备,具有掌握相关专业知识和操作技能的工作人员,具有有效防止病原微生物扩散和感染的措施,具有疑似某种病原微生物感染症患者在整个临床病期均可采集样本,D,,接口直采,1,2026/9/18 12:50:35
单选题,采取适当的措施，使燃烧因缺乏或隔绝氧气而熄灭，这种方法称作:( ),窒息灭火法,隔离灭火法,冷却灭火法,,A,,接口直采,1,2026/9/18 12:50:32
单选题,采取适当的措施，使燃烧因缺乏或隔绝氧气而熄灭，这种方法称作（）,隔离灭火法,窒息灭火法,冷却灭火法,化学抑制法,B,,接口直采,1,2026/9/18 12:50:32
单选题,采用甲醛进行加热或化学熏蒸法灭菌时，熏蒸过程至少密闭保持（）,12h,24h,6h,8h,A,,接口直采,1,2026/9/18 12:50:35
单选题,参加泄漏处理人员应对泄漏品的化学性质和反应特征有充分的了解，要在（）地理位置上进行处理。,上风,高处和上风,低处,低处和下风,B,,接口直采,1,2026/9/18 12:50:15
单选题,操纵机械设备时，穿紧身适合工作服的目的是防止：（）,着凉,被机器转动部分缠绕,被机器弄污,防静电,B,,接口直采,1,2026/9/18 12:50:37
单选题,操作铣床时必须戴好：（）,围巾,防护镜、长发须戴防护帽,手套,防护鞋,B,,接口直采,1,2026/9/18 12:50:37
单选题,操作钻床时，如果采用手动进刀，事先应该：（ ）,选好锉刀,调整好行程限位块,选好进给速度,选好锯条,B,,接口直采,1,2026/9/18 12:50:37
单选题,常用危险化学品按其主要危险特性分为几大类，其中不包括以下（）类。,爆炸品,压缩气体和液化气体,放射性物品,有毒品和腐蚀品,C,,接口直采,1,2026/9/18 12:50:25
单选题,超级恒温水浴使用时错误的操作是：( ),超级恒温水浴内应使用去离子水（或纯净水）,恒温水浴内去离子水未加到“正常水位”严禁通电，防止干烧,可以使用自来水,以上都对,C,,接口直采,1,2026/9/18 12:50:38
单选题,车床安全操作规程中规定，车床启动前需要做的事情是：（）,进行极限位置检查,只检查安全罩是否挂好,只检查各手柄是否处于正常位置,检查安全罩是否挂好，检查各手柄是否处于正常位置，检查工件和车刀是否已安装好,D,,接口直采,1,2026/9/18 12:50:37
单选题,车床的极限位置检查的方法是：（）,主轴低速，自动切至加工面的极限位置,主轴低速，手动切至加工面的极限位置,车刀对准加工面的极限位置，变速手柄放在空挡位置，用手扳动卡盘旋转一圈,以上方法都不对,C,,接口直采,1,2026/9/18 12:50:37
单选题,车床开动以后( ),不能同时使用纵、横向自动手柄,不能改变进给量,可以同时使用纵、横向自动手柄,以上都可以,A,,接口直采,1,2026/9/18 12:50:37
单选题,车床上采用花盘或花盘-弯板安装工件时，必要时还要配装：（）,中心架,跟刀架,顶尖,平衡铁,D,,接口直采,1,2026/9/18 12:50:37
单选题,车床上装卸刀具和车削工件时均要先锁紧：（）,尾座,尾座套筒,方刀架,以上都不是,C,,接口直采,1,2026/9/18 12:50:37
单选题,车削开始前要进行极限位置检查的原因是：（）,防止卡盘与刀架或车刀相撞,防止工件伸出长度不够,防止工件因装卡不正而跳动,以上原因都不对,A,,接口直采,1,2026/9/18 12:50:37
单选题,成人进行心肺复苏时，胸外按压部位是：（）,胸骨上段,胸骨中段,胸骨下段,胸骨中下1／3交界处,D,,接口直采,1,2026/9/18 12:50:15
单选题,成人心肺复苏时打开气道的最常用方式为：（）,仰头举颏法,双手推举下颌法,托颏法,托颈法,A,,接口直采,1,2026/9/18 12:50:15
单选题,成人心肺复苏时胸外按压的深度为：（）,胸廓前后径的一半,2~3cm,4~5cm,6~7cm,C,,接口直采,1,2026/9/18 12:50:15
单选题,充装惰性气体的钢瓶的检验周期是：（）,三个月,一年,两年,五年,D,,接口直采,1,2026/9/18 12:50:23
单选题,充装惰性气体钢瓶的检验周期是：（）,三个月,一年,两年,五年,D,,接口直采,1,2026/9/18 12:50:23
单选题,充装腐蚀性气体的钢瓶的检验周期是：（）,三个月,一年,两年,五年,C,,接口直采,1,2026/9/18 12:50:23
单选题,充装腐蚀性气体钢瓶的检验周期是：（）,三个月,一年,两年,五年,C,,接口直采,1,2026/9/18 12:50:23
单选题,初期心肺复苏的任务和步骤的正确顺序是：（）,保持呼吸道通畅，口对口人工呼吸，胸外心脏按压,保持呼吸道通畅，胸外心脏按压，口对口人工呼吸,胸外心脏按压，保持呼吸道通畅，口对口人工呼吸,口对口人工呼吸，胸外心脏按压，保持呼吸道通畅,A,,接口直采,1,2026/9/18 12:50:15
单选题,除普通级动物应排除的病原体外，不携带对动物危害大和对科学研究影响大的病原体的动物是：（）,普通级动物,清洁级动物,无特定病原体动物,无菌动物,B,,接口直采,1,2026/9/18 12:50:35
单选题,除清洁级动物应排除的病原体外，不携带主要潜在感染或条件致病和对科学实验干扰大的病原体的动物是：（）,普通级动物,清洁级动物,无菌动物,无特定病原体动物,D,,接口直采,1,2026/9/18 12:50:35
单选题,除易制爆危险化学品库房管理员开展正常工作外，其他情况进入库房需经批准，并填写：（）,危化品库台账,危险化学品领用登记表,出入登记表,危险化学品领用申请表,C,,接口直采,1,2026/9/18 12:50:25
单选题,处理敏感个人信息应当取得：,口头同意,单独同意,默示同意,无需同意,B,,接口直采,1,2026/9/18 12:50:42
单选题,处理使用后的废液时，下列哪个说法是错误的？,不明的废液不可混合收集存放,废液不可任意处理,禁止将水以外的任何物质倒入下水道，以免造成环境污染和处理人员危险,少量废液用水稀释后，可直接倒入下水道,D,,接口直采,1,2026/9/18 12:50:20
单选题,处置实验过程产生的剧毒药品废液，说法错误的是：( ),妥善保管,不得随意丢弃、掩埋,集中保存，统一处理,稀释后用大量水冲净,D,,接口直采,1,2026/9/18 12:50:25
单选题,触电事故中，多数触电死亡是由（）造成的。,电击,烧伤,电休克,电伤,A,,接口直采,1,2026/9/18 12:50:37
单选题,触电事故中，绝大部分是( )导致人身伤亡,人体接受电流遭到电击,烧伤,电休克。,,A,,接口直采,1,2026/9/18 12:50:42
单选题,从2000-2011年，全世界公开报道实验室获得性感染事故46起，涉及多种高致病性细菌和病毒，影响较大的有2003年和2004年在新加坡、中国台湾和中国大陆发生的3起（）病毒实验室获得性感染事故。,SARS,布鲁氏菌,肝炎,埃博拉,A,,接口直采,1,2026/9/18 12:50:35
单选题,从放射性射线与粒子的特性来说，（）射线的穿透力强，危险性最大，即使体外照射时，也容易引起体内各种病症。,a,β,γ,激光,C,,接口直采,1,2026/9/18 12:50:16
单选题,从放射性射线与粒子的特性来说，（）射线的电离本领极大，对人体损伤力集中，可致细胞成团死亡，引起发炎或皮肤烧伤，因此，由该种射线造成的损伤难以恢复。,a,β,γ,X,A,,接口直采,1,2026/9/18 12:50:16
单选题,从结构、防护原理、使用对象等因素来看，个人防护装备可以为3类：（）,常规个人防护装备、正压防护装备和负压防护装备,常规个人防护装备、负压防护装备和生命维持系统防护装备,常规个人防护装备、正压防护装备和生命维持系统防护装备,常规个人防护装备、负压防护装备和高级别个人防护装备,C,,接口直采,1,2026/9/18 12:50:28
单选题,从事易燃易爆作业的人员应穿（），以防静电危害。,含金属纤维的工作服,防油污工作服,合成纤维工作服,无特殊要求,A,,接口直采,1,2026/9/18 12:50:37
单选题,存在打磨飞溅物危及（ ）等，可首选全面罩防护。,眼睛,手,皮肤,以上都是,A,,接口直采,1,2026/9/18 12:50:37
单选题,锉削加工中锉刀暂时不用时，应放在工作台的什么位置上？,锉刀放在什么位置都可以,锉刀放在台虎钳的上面,应放在台虎钳工作台的右面,以上都不对,C,,接口直采,1,2026/9/18 12:50:37
单选题,大量集中使用气瓶时以下错误的是：（）,不必要设置符合要求的集中存放室,根据气瓶介质情况采取必要的防火、防爆、防电打火（包括静电）、防毒、防辐射等措施,通风要良好，要有必要的报警装置,避免阳光直射,A,,接口直采,1,2026/9/18 12:50:23
单选题,大量试剂应放在什么地方？,试剂架上,实验室内试剂柜中,实验台下柜中,试剂库内,D,,接口直采,1,2026/9/18 12:50:25
单选题,大鼠的尾静脉注射时应选择尾下（）处进针，此处皮薄易于刺入。,1/2,1/3,1/5,1/8,C,,接口直采,1,2026/9/18 12:50:35
单选题,大型仪器一般都使用计算机进行控制，该计算机除了在性能上要满足要求外，在管理使用方面有何要求？,专机专用，禁止安装非本设备使用的软件,随便,可以安装多个软件，节约成本,以上都不对,A,,接口直采,1,2026/9/18 12:50:37
单选题,大型仪器一般都使用计算机进行控制。计算机与仪器之间的数据传输线在何种情况下进行装卸?,任意时刻,在仪器及计算机电源关闭时,在仪器处于工作状态时,在计算机处于工作状态时,B,,接口直采,1,2026/9/18 12:50:38
单选题,"大学生小吴在网上以一个知名作家的名义写博客,但事先没有征得该作家同意。小吴应当承担（ ）。",侵权责任,违约责任,刑事责任,行政责任,A,,接口直采,1,2026/9/18 12:50:42
单选题,带电电器设备发生火灾时不能用（）扑救。,卤代烷,水,干粉,以上都是,B,,接口直采,1,2026/9/18 12:50:37
单选题,单位购买剧毒化学品时应：（）,采购人自行购买,向所在地县级人民政府公安机关申请取得剧毒化学品购买许可证,要求销售企业通过快递运输,采购人自行提取货物,B,,接口直采,1,2026/9/18 12:50:25
单选题,单相三芯线电缆中的红线代表：（）,零线,火线,地线,不明确,B,,接口直采,1,2026/9/18 12:50:37
单选题,担架搬运时：（）,伤员头部向后，足部向前,伤员仰卧，足部向前,伤员仰卧，足部向后,伤员俯卧，足部向前,A,,接口直采,1,2026/9/18 12:50:15
单选题,氮氧化物主要伤害人体的：( ),眼、上呼吸道,呼吸道深部的细支气管、肺泡,皮肤,消化道,B,,接口直采,1,2026/9/18 12:50:25
单选题,氮氧化物主要伤害人体的（）。,眼、上呼吸道,呼吸道深部的细支气管、肺泡,皮肤,消化道,B,,接口直采,1,2026/9/18 12:50:25
单选题,当被烧伤时，正确的急救方法应该是：（）,以最快的速度用冷水冲洗烧伤部位,立即用嘴吹灼伤部位,立刻包扎,立刻送医院,A,,接口直采,1,2026/9/18 12:50:15
单选题,当不慎把大量浓硫酸滴在皮肤上时，正确的处理方法是：( ),用酒精棉球擦,不作处理，马上去医院,用碱液中和后，用水冲洗,以吸水性强的纸或布吸去后，再用水冲洗,D,,接口直采,1,2026/9/18 12:50:15
单选题,当不慎把少量浓硫酸滴在皮肤上(在皮肤上没形成挂液)时，正确的处理方法是：( ),用酒精棉球擦,不作处理，马上去医院,用碱液中和后，用水冲洗,用水直接冲洗,D,,接口直采,1,2026/9/18 12:50:15
单选题,当打开房门闻到燃气气味时，要迅速（），以防止引起火灾。,打开燃气灶具查找漏气部位,打开门窗通风,两者都是,两者都不是,B,,接口直采,1,2026/9/18 12:50:32
单选题,当电烙铁使用完成后，正确的处理方式是：（）,放在烙铁架上自然冷却,放在桌子上自然冷却,马上用东西包裹起来,放哪儿无所谓,A,,接口直采,1,2026/9/18 12:50:37
单选题,当发现车辆发动机舱冒烟，并有起火迹象时，操作者应立即将车辆停在安全位置，然后应：（）,立即迅速打开发动机舱，用灭火器向起火点喷射灭火,立即迅速打开发动机舱盖并留出一道缝隙，然后向机舱内喷射一定量的灭火剂后再完全打开机舱盖，并向起火点喷射灭火剂,报警,以上都不对,B,,接口直采,1,2026/9/18 12:50:37
单选题,当发现眼睛可能进了粉屑，应采取措施：（）,坚持实习，下班后上医院,先告诉指导教师，尽快上医院检查,坚持实习，不是特别难受就不上医院,立刻上医院进行检查,B,,接口直采,1,2026/9/18 12:50:37
单选题,当量剂量的国际单位名称的符号是：（）,Gy,rad,Sv,rem,C,,接口直采,1,2026/9/18 12:50:16
单选题,当你看到实验室里电闸箱内的刀闸处于断开状态时，正确的处理方式是：（）,帮助合上刀闸,在该刀闸控制的房间里巡视一番没有发现问题后合上刀闸,喊叫几声发现没有人应答后合上刀闸,请专业人员处理,D,,接口直采,1,2026/9/18 12:50:18
单选题,当有汞（水银）溅失时，应如何处理现场?,用水擦,用拖把拖,扫干净后倒入垃圾桶,收集水银，用硫磺粉盖上并统一处理,D,,接口直采,1,2026/9/18 12:50:25
单选题,低温下使用压力容器易产生：（）,延性破裂,腐蚀破裂,脆性破裂,疲劳破裂,C,,接口直采,1,2026/9/18 12:50:30
单选题,点焊枪时，应该用:( ),打火机,火柴,点火枪,以上都可以,C,,接口直采,1,2026/9/18 12:50:37
单选题,电磁环境控制限值（GB 8702-2014）适用于电磁环境中控制（）的评价和管理。,环境质量,公众曝露,电磁辐射,电场强度,B,,接口直采,1,2026/9/18 12:50:16
单选题,电磁环境控制限值（GB 8702-2014）中，频率50Hz电磁辐射的磁感应强度B控制限值是（）,50,20μT,100μT,10,C,,接口直采,1,2026/9/18 12:50:16
单选题,电磁环境控制限值（GB 8702-2014）中，频率50Hz电磁辐射的电场强度E控制限值是（）,4kV/m,200kV/m,50kV/m,40kV/m,A,,接口直采,1,2026/9/18 12:50:16
单选题,电感耦合等离子体质谱仪测试样品前，最好提前（）对仪器进行抽真空，如仪器一直处于待机状态，则可以直接进行样品测试。,半天,一天,三天,一周,B,,接口直采,1,2026/9/18 12:50:38
